,Unnamed: 0,commonstocksharesissued,assetscurrent,accountspayablecurrent,commonstockvalue,liabilities,liabilitiesandstockholdersequity,stockholdersequity,earningspersharebasic,netincomeloss,profitloss,costofgoodssold,filing_date,costsandexpenses,cash,notespayable,preferredstockvalue,depreciation,operatingexpenses,revenues,land,accountsreceivablenet,deferredrevenue,grossprofit,sharesissued,accruedincometaxes,sharesoutstanding,borrowedfunds,inventorygross,commercialpaper,dividends,commonstocknoparvalue,costofservices,debtcurrent,accruedinsurancecurrent,officerscompensation,intangibleassetscurrent,salariesandwages,interestanddebtexpense,convertibledebt,assetmanagementcosts,accountsreceivablegross,directoperatingcosts,operatingcycle,stock,price
73533,73533,54046817.0,357848000.0,10477000.0,515000.0,,884977000.0,638399000.0,-0.03,35028000.0,,,2013-07-10,,,,,5567000.0,52718000.0,296721000.0,,,100000.0,65518000.0,,,74900.0,,,,6067000.0,,6990000.0,,,,,,,,,,,,PRGS,
73534,73534,56488339.0,526818000.0,10477000.0,264810000.0,,884977000.0,595816000.0,0.54,31118000.0,,,2013-04-09,,,,,2418000.0,57341000.0,296721000.0,,,100000.0,76563000.0,,,74900.0,,,,6067000.0,,8760000.0,,,,,,,,,,,,PRGS,
73535,73535,61788629.0,407777000.0,7039000.0,619000.0,,865310000.0,595816000.0,0.54,5838000.0,,,2013-01-29,,,,,9305000.0,218981000.0,296721000.0,,,100000.0,76656000.0,,,74900.0,,,,6067000.0,,30144000.0,,,,,,,,,,,,PRGS,
73569,73569,27893132.0,88203000.0,,279000.0,41788000.0,140316000.0,,0.15,2565000.0,,,2013-11-05,,,,,7100000.0,48058000.0,,,,,,,,,,,,,,32461000.0,,,,,,,,,,,,PRGX,
73570,73570,27893132.0,81459000.0,,279000.0,40509000.0,132628000.0,,0.05,1002000.0,,,2013-08-06,,,,,7100000.0,47510000.0,,,,,,,,,,,,,,33312000.0,,,,,,,,,,,,PRGX,
73571,73571,28850338.0,81522000.0,,289000.0,44589000.0,134994000.0,,-0.02,-497000.0,,,2013-05-07,,,,,7100000.0,45402000.0,,,,,,,,,,,,,,30407000.0,,,,,,,,,,,,PRGX,
73572,73572,27893132.0,88203000.0,,279000.0,58934000.0,143586000.0,,0.06,1533000.0,,,2013-03-13,,,,,7100000.0,52634000.0,,,,,,27893132.0,,,,,,,,34399000.0,,,,,,,,,,,,PRGX,
73602,73602,2000000.0,,,6000000.0,3348000000.0,709298000000.0,38575000000.0,1.41,701000000.0,51000000.0,,2013-11-07,1096000000.0,,,,,,405000000.0,,,,,,10598000000.0,,,,386000000.0,,,,3118000000.0,,,,,,,,,,,PRH,
73603,73603,2000000.0,,,6000000.0,3348000000.0,709298000000.0,38575000000.0,2.72,1285000000.0,26000000.0,,2013-08-08,1096000000.0,,,,,,3153000000.0,,,,,,10598000000.0,,,,386000000.0,,,,2620000000.0,,,,,,,,,,,PRH,
73604,73604,2000000.0,,,6000000.0,1406000000.0,709298000000.0,38575000000.0,-2.03,-939000000.0,11000000.0,,2013-05-03,1096000000.0,,,,,,-121000000.0,,,,,,10598000000.0,,,,386000000.0,,,,2484000000.0,,,,,,,,,,,PRH,
73605,73605,2000000.0,,,6000000.0,22247000000.0,63354000000.0,34253000000.0,1.09,3001000000.0,3001000000.0,,2013-02-22,979000000.0,,,,,,446000000.0,,,,,,10598000000.0,,,,386000000.0,,,,956000000.0,,,,,,,,,,,PRH,
73640,73640,51571394.0,564635000.0,151546000.0,5000.0,598569000.0,931207000.0,,0.77,20597000.0,5020000.0,,2013-11-05,,3565000.0,,,20719000.0,,44400000.0,,,,75465000.0,51571394.0,,,,,,,,922960000.0,,22982000.0,,,,,,,,,,PRIM,
73641,73641,51562284.0,564635000.0,151546000.0,5000.0,598569000.0,931207000.0,,0.43,20597000.0,22387000.0,,2013-08-07,,3565000.0,,,13557000.0,,44400000.0,,,,59537000.0,51571394.0,,,,,,,,547409000.0,,22982000.0,,,,,,,,,,PRIM,
73642,73642,51403686.0,564635000.0,151546000.0,5000.0,598569000.0,931207000.0,,0.21,20597000.0,10530000.0,,2013-05-07,,3565000.0,,,6424000.0,,44400000.0,,,,128000.0,51571394.0,,,,,,,,253977000.0,,22982000.0,,,,,,,,,,PRIM,
73643,73643,51059132.0,564635000.0,151546000.0,5000.0,2540000.0,931207000.0,,0.24,20597000.0,1511000.0,,2013-03-07,,3565000.0,,,17904000.0,,44400000.0,,,,1408000.0,51403686.0,,,,,,,,818976000.0,,18732000.0,,,,,,,,,,PRIM,
73672,73672,54687000.0,,,564000.0,9062461000.0,10337877000.0,1337411000.0,2.09,133535000.0,157191000.0,,2013-11-07,,,374469000.0,,7300000.0,25488000.0,88575000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRI,
73673,73673,54504000.0,,,545000.0,8859161000.0,10337877000.0,1276866000.0,0.76,46180000.0,157191000.0,,2013-08-07,,,374457000.0,,7300000.0,25488000.0,203101000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRI,
73674,73674,56682000.0,,,567000.0,9125463000.0,10337877000.0,1387315000.0,0.67,38845000.0,157191000.0,,2013-05-08,,,374445000.0,,7300000.0,25488000.0,31326000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRI,
73675,73675,56374000.0,,,649000.0,9062461000.0,10337877000.0,1356528000.0,0.62,173806000.0,157191000.0,,2013-02-27,,,374433000.0,,6900000.0,25488000.0,7331000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRI,
73704,73704,92742113.0,23768434.0,1028518.0,927421.0,2959889.0,32806247.0,29846358.0,,-6424231.0,,,2013-11-12,,,20000.0,,174444.0,6443086.0,13000.0,,540.0,,-974000.0,,,,,550000.0,,,,5046.0,,,,,,,,,,,,PRKR,
73705,73705,3381573.0,14573220.0,745548.0,886474.0,2017247.0,23716652.0,21699405.0,,-7127114.0,,,2013-08-08,,,20000.0,,174444.0,7150683.0,13000.0,,540.0,,-974000.0,,,,,550000.0,,,,5046.0,,,,,,,,,,,,PRKR,
73706,73706,88089121.0,19042465.0,621104.0,880891.0,1990536.0,28327837.0,26337301.0,,-6462172.0,,,2013-05-09,,,20000.0,,174444.0,6474218.0,13000.0,,540.0,,-974000.0,,,,,550000.0,,,,5046.0,,,,,,,,,,,,PRKR,
73707,73707,82903609.0,9317441.0,827209.0,829036.0,2199867.0,18719854.0,1081050.0,,-6174000.0,,,2013-03-18,,,20000.0,,174444.0,20383033.0,13000.0,,540.0,,-974000.0,82903609.0,,,,550000.0,,,,5046.0,,,,,,,,,,,,PRKR,
73737,73737,16150952.0,,,302654000.0,6073146000.0,6705891000.0,651747000.0,0.78,67112000.0,,,2013-11-01,,160011000.0,,100000000.0,7243000.0,13413000.0,24190000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRK,
73738,73738,16150966.0,,,302654000.0,6001254000.0,6640473000.0,651747000.0,3.05,-5640000.0,,,2013-08-02,,160011000.0,,100000000.0,7243000.0,13413000.0,24190000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRK,
73739,73739,16150973.0,,,302654000.0,6092945000.0,6747155000.0,651747000.0,1.95,132000.0,,,2013-05-02,,160011000.0,,100000000.0,7243000.0,13413000.0,24190000.0,,,,,,,,,,,,,,,,,,,,,,,,,PRK,
73740,73740,16150987.0,,,301202000.0,89655000.0,740021000.0,742364000.0,3.45,78630000.0,,,2013-02-26,,98726000.0,,100000000.0,7243000.0,11869000.0,207259000.0,,,,,,,100000.0,,,,,,,,,,,,,,,,,,PRK,
73771,73771,25445177.0,104313000.0,6340000.0,26000.0,18782000.0,216379000.0,197597000.0,0.35,8872000.0,,,2013-11-05,,,,,6100000.0,12553000.0,,2830000.0,,,25955000.0,,,,,5077000.0,,,,,,,,,,,,,,,,PRLB,
73772,73772,25304743.0,96641000.0,5712000.0,26000.0,15174000.0,198200000.0,183026000.0,0.34,8611000.0,,,2013-08-06,,,,,6100000.0,12224000.0,,2830000.0,,,24853000.0,,,,,4991000.0,,,,,,,,,,,,,,,,PRLB,
73773,73773,25170856.0,94232000.0,5759000.0,26000.0,18371000.0,189000000.0,170629000.0,0.28,6702000.0,,,2013-05-08,,,,,6100000.0,10121000.0,,2830000.0,,,19694000.0,,,,,4818000.0,,,,,,,,,,,,,,,,PRLB,
